user_id,baseline_watch_time,age,region,device_type,subscription_status,session_count_last_week,homepage_version,post_watch_time
0,138.73036090989726,38,US,Desktop,Premium,9,0,76.33229250923495
1,71.64730759049775,49,US,Tablet,Free,8,1,38.60433334958157
2,74.15484743209633,44,EU,Mobile,Free,6,0,16.122792416573525
3,57.81094133531489,25,EU,Tablet,Premium,10,0,37.294173273289964
4,115.96222887974035,61,US,Tablet,Free,6,0,30.21933734669082
5,20.953839093591526,20,APAC,Mobile,Free,8,0,27.661135120546877
6,142.3443529264944,50,APAC,Mobile,Free,6,0,48.38401241921794
7,67.16379297314691,64,APAC,Mobile,Premium,11,0,47.44161900743434
8,99.57117288171295,29,US,Mobile,Free,10,0,33.7096097062721
9,82.51888873567769,36,EU,Mobile,Free,10,1,52.352837890281904
10,133.86323811134923,62,US,Mobile,Premium,11,0,51.81368546818668
11,28.195778715070375,18,EU,Tablet,Premium,8,1,48.28446266657771
12,80.32748387959478,55,APAC,Mobile,Free,6,0,27.477314303050797
13,78.47836935994754,27,US,Tablet,Free,8,1,66.3973982799861
14,124.01308327006312,44,EU,Desktop,Premium,9,0,55.93989257958507
15,57.003261980579076,38,US,Mobile,Free,4,1,29.565109593827554
16,84.82715377348693,33,APAC,Tablet,Premium,12,0,59.703179648233416
17,63.664247462358844,19,US,Mobile,Free,15,1,58.89469090870592
18,91.26641240146779,23,APAC,Desktop,Premium,7,0,52.37799534667937
19,107.48445641147467,20,APAC,Desktop,Free,8,0,50.45842662983274
20,56.98142468361236,43,APAC,Mobile,Free,3,1,4.66790258267126
21,124.34171129518842,46,EU,Mobile,Free,6,1,47.034995877848296
22,117.04772161778386,37,US,Mobile,Free,4,0,47.435248152665956
23,105.07483016705605,61,US,Mobile,Premium,14,1,83.77167532985456
24,117.02567847793236,35,US,Desktop,Free,13,1,66.09290870051682
25,69.48816422477,23,US,Mobile,Free,14,1,67.85882092189094
26,86.31329323444055,63,EU,Mobile,Free,5,0,44.82780955826715
27,61.926916972227936,33,EU,Mobile,Premium,5,0,34.86424187114308
28,81.96335761121952,28,EU,Desktop,Premium,8,0,28.450313032749932
29,105.91066400214558,47,APAC,Tablet,Free,6,1,33.088601842798354
30,69.25017744824072,35,EU,Mobile,Free,9,0,20.221482713022162
31,78.09739419432069,35,US,Desktop,Free,8,0,48.49736875696996
32,69.38481899641202,64,US,Mobile,Free,5,1,35.45665047640249
33,64.64383075503841,25,US,Mobile,Free,17,1,27.815054139787243
34,69.86261607489543,35,US,Mobile,Free,12,1,41.557388141256546
35,89.62006203243295,40,US,Tablet,Premium,2,0,62.38163855860434
